Complaint_ID,Category,Area,Priority,Status,Filing_Date,Resolution_Date,Delay_Days
CMPL-10000,Street Light,Indra Nagar,High,In-Progress,2025-11-28,,
CMPL-10001,Sewerage,Basharatpur,Medium,Resolved,2024-10-26,2024-12-17,52.0
CMPL-10002,Street Light,Civil Lines,Low,Pending,2025-06-07,,
CMPL-10003,Road Construction,Civil Lines,Low,Resolved,2025-03-20,2025-06-26,98.0
CMPL-10004,Garbage Collection,Civil Lines,Low,In-Progress,2024-07-24,,
CMPL-10005,Water Supply,Indra Nagar,Low,Resolved,2025-11-21,2025-12-18,27.0
CMPL-10006,Road Construction,Mohaddipur,Low,Pending,2025-01-10,,
CMPL-10007,Street Light,Mohaddipur,Medium,Resolved,2025-11-25,2025-12-03,8.0
CMPL-10008,Street Light,Basharatpur,Medium,In-Progress,2026-03-15,,
CMPL-10009,Water Supply,Civil Lines,Low,Resolved,2025-06-06,2025-08-05,60.0
CMPL-10010,Sewerage,Basharatpur,Medium,Pending,2026-03-07,,
CMPL-10011,Street Light,Mohaddipur,Medium,In-Progress,2024-07-26,,
CMPL-10012,Street Light,Civil Lines,Medium,In-Progress,2024-12-19,,
CMPL-10013,Road Construction,Civil Lines,Low,In-Progress,2025-03-03,,
CMPL-10014,Water Supply,Indra Nagar,Medium,Pending,2024-11-25,,
CMPL-10015,Street Light,Civil Lines,Low,Resolved,2026-01-17,2026-01-19,2.0
CMPL-10016,Road Construction,Civil Lines,Medium,In-Progress,2025-02-21,,
CMPL-10017,Sewerage,Mohaddipur,High,Resolved,2024-11-16,2024-12-18,32.0
CMPL-10018,Road Construction,Indra Nagar,High,Pending,2024-10-30,,
CMPL-10019,Sewerage,Basharatpur,Medium,In-Progress,2024-05-29,,
CMPL-10020,Water Supply,Mohaddipur,Low,Resolved,2024-08-22,2024-09-04,13.0
CMPL-10021,Water Supply,Golghar,High,Pending,2024-11-04,,
CMPL-10022,Street Light,Golghar,High,In-Progress,2025-02-04,,
CMPL-10023,Water Supply,Civil Lines,Medium,Resolved,2025-11-01,2025-12-02,31.0
CMPL-10024,Sewerage,Mohaddipur,Low,In-Progress,2025-01-28,,
CMPL-10025,Water Supply,Basharatpur,Medium,Resolved,2025-05-02,2025-06-24,53.0
CMPL-10026,Sewerage,Mohaddipur,Medium,Resolved,2026-02-21,2026-04-21,59.0
CMPL-10027,Street Light,Basharatpur,Medium,In-Progress,2024-06-20,,
CMPL-10028,Water Supply,Civil Lines,High,In-Progress,2025-11-06,,
CMPL-10029,Street Light,Basharatpur,Medium,Pending,2024-04-23,,
CMPL-10030,Sewerage,Civil Lines,High,Pending,2025-03-29,,
CMPL-10031,Road Construction,Mohaddipur,Medium,In-Progress,2024-11-06,,
CMPL-10032,Garbage Collection,Golghar,High,In-Progress,2025-03-23,,
CMPL-10033,Street Light,Basharatpur,Low,In-Progress,2025-06-26,,
CMPL-10034,Water Supply,Mohaddipur,Low,In-Progress,2025-03-17,,
CMPL-10035,Garbage Collection,Mohaddipur,High,Pending,2025-01-06,,
CMPL-10036,Garbage Collection,Civil Lines,Low,Resolved,2024-09-09,2024-10-26,47.0
CMPL-10037,Street Light,Golghar,High,Pending,2026-01-29,,
CMPL-10038,Street Light,Civil Lines,High,In-Progress,2026-01-26,,
CMPL-10039,Street Light,Mohaddipur,Medium,Pending,2025-02-19,,
CMPL-10040,Sewerage,Basharatpur,Medium,In-Progress,2024-12-29,,
CMPL-10041,Road Construction,Golghar,High,Resolved,2026-01-15,2026-05-28,133.0
CMPL-10042,Road Construction,Golghar,High,In-Progress,2026-02-06,,
CMPL-10043,Street Light,Civil Lines,High,Pending,2025-04-25,,
CMPL-10044,Water Supply,Civil Lines,High,Resolved,2025-10-06,2025-12-03,58.0
CMPL-10045,Garbage Collection,Indra Nagar,Medium,Resolved,2024-05-14,2024-05-25,11.0
CMPL-10046,Road Construction,Golghar,Low,In-Progress,2025-07-16,,
CMPL-10047,Road Construction,Mohaddipur,Low,Pending,2025-08-17,,
CMPL-10048,Road Construction,Basharatpur,Medium,In-Progress,2024-11-20,,
CMPL-10049,Road Construction,Basharatpur,Low,Resolved,2024-05-29,2024-09-28,122.0
CMPL-10050,Street Light,Golghar,Low,Pending,2025-05-11,,
CMPL-10051,Garbage Collection,Indra Nagar,High,In-Progress,2025-06-26,,
CMPL-10052,Road Construction,Mohaddipur,High,Pending,2024-11-02,,
CMPL-10053,Road Construction,Civil Lines,Medium,Pending,2024-06-23,,
CMPL-10054,Road Construction,Basharatpur,Low,Pending,2025-04-12,,
CMPL-10055,Water Supply,Mohaddipur,Low,Resolved,2024-12-14,2024-12-19,5.0
CMPL-10056,Sewerage,Mohaddipur,Medium,Resolved,2024-12-05,2025-01-03,29.0
CMPL-10057,Street Light,Civil Lines,Medium,In-Progress,2024-11-02,,
CMPL-10058,Sewerage,Civil Lines,Low,Pending,2024-06-11,,
CMPL-10059,Street Light,Mohaddipur,Low,Pending,2024-07-18,,
CMPL-10060,Water Supply,Civil Lines,Medium,Resolved,2024-07-09,2024-08-06,28.0
CMPL-10061,Street Light,Civil Lines,Medium,In-Progress,2025-07-31,,
CMPL-10062,Water Supply,Basharatpur,High,In-Progress,2024-11-29,,
CMPL-10063,Sewerage,Basharatpur,Low,Pending,2024-06-10,,
CMPL-10064,Garbage Collection,Civil Lines,Medium,In-Progress,2026-03-21,,
CMPL-10065,Road Construction,Mohaddipur,High,Pending,2024-12-02,,
CMPL-10066,Sewerage,Civil Lines,Medium,In-Progress,2024-06-08,,
CMPL-10067,Street Light,Civil Lines,Low,Pending,2024-05-02,,
CMPL-10068,Street Light,Basharatpur,High,Resolved,2025-05-11,2025-05-12,1.0
CMPL-10069,Sewerage,Golghar,Low,Pending,2025-10-24,,
CMPL-10070,Street Light,Golghar,Medium,In-Progress,2025-01-02,,
CMPL-10071,Garbage Collection,Mohaddipur,Medium,Resolved,2024-11-15,2024-12-13,28.0
CMPL-10072,Water Supply,Mohaddipur,Medium,Resolved,2024-08-30,2024-10-22,53.0
CMPL-10073,Garbage Collection,Civil Lines,Low,Pending,2024-12-08,,
CMPL-10074,Road Construction,Civil Lines,Medium,Resolved,2025-06-09,2025-11-04,148.0
CMPL-10075,Road Construction,Civil Lines,Medium,In-Progress,2026-03-17,,
CMPL-10076,Water Supply,Golghar,Medium,Pending,2025-01-11,,
CMPL-10077,Garbage Collection,Basharatpur,Low,Resolved,2024-12-03,2025-01-24,52.0
CMPL-10078,Sewerage,Basharatpur,Medium,Resolved,2025-05-02,2025-06-14,43.0
CMPL-10079,Water Supply,Basharatpur,High,Pending,2025-01-31,,
CMPL-10080,Sewerage,Golghar,Medium,Pending,2024-11-19,,
CMPL-10081,Sewerage,Mohaddipur,Low,Pending,2024-06-20,,
CMPL-10082,Garbage Collection,Indra Nagar,Low,Pending,2024-12-21,,
CMPL-10083,Street Light,Civil Lines,Low,In-Progress,2025-09-06,,
CMPL-10084,Water Supply,Mohaddipur,Medium,In-Progress,2024-08-27,,
CMPL-10085,Garbage Collection,Golghar,Medium,Resolved,2026-03-21,2026-04-08,18.0
CMPL-10086,Water Supply,Mohaddipur,Medium,In-Progress,2025-05-31,,
CMPL-10087,Sewerage,Golghar,Low,Pending,2025-11-16,,
CMPL-10088,Garbage Collection,Indra Nagar,High,In-Progress,2024-11-09,,
